date,province,salinity_ppt
2024-01-01,Bac Lieu,4.14
2024-01-02,Bac Lieu,4.34
2024-01-03,Bac Lieu,4.59
2024-01-04,Bac Lieu,4.52
2024-01-05,Bac Lieu,4.68
2024-01-06,Bac Lieu,4.9
2024-01-07,Bac Lieu,4.88
2024-01-08,Bac Lieu,4.87
2024-01-09,Bac Lieu,4.99
2024-01-10,Bac Lieu,5.14
2024-01-11,Bac Lieu,4.87
2024-01-12,Bac Lieu,5.27
2024-01-13,Bac Lieu,5.07
2024-01-14,Bac Lieu,4.64
2024-01-15,Bac Lieu,5.56
2024-01-16,Bac Lieu,5.28
2024-01-17,Bac Lieu,5.18
2024-01-18,Bac Lieu,5.43
2024-01-19,Bac Lieu,5.11
2024-01-20,Bac Lieu,5.39
2024-01-21,Bac Lieu,5.44
2024-01-22,Bac Lieu,5.25
2024-01-23,Bac Lieu,5.87
2024-01-24,Bac Lieu,5.82
2024-01-25,Bac Lieu,5.72
2024-01-26,Bac Lieu,5.74
2024-01-27,Bac Lieu,5.7
2024-01-28,Bac Lieu,5.93
2024-01-29,Bac Lieu,6.34
2024-01-30,Bac Lieu,5.74
2024-01-31,Bac Lieu,6.09
2024-02-01,Bac Lieu,5.92
2024-02-02,Bac Lieu,5.31
2024-02-03,Bac Lieu,6.24
2024-02-04,Bac Lieu,5.8
2024-02-05,Bac Lieu,5.5
2024-02-06,Bac Lieu,6.23
2024-02-07,Bac Lieu,6.04
2024-02-08,Bac Lieu,6.2
2024-02-09,Bac Lieu,6.23
2024-02-10,Bac Lieu,5.77
2024-02-11,Bac Lieu,6.28
2024-02-12,Bac Lieu,6.34
2024-02-13,Bac Lieu,6.28
2024-02-14,Bac Lieu,6.52
2024-02-15,Bac Lieu,6.76
2024-02-16,Bac Lieu,6.77
2024-02-17,Bac Lieu,5.8
2024-02-18,Bac Lieu,6.65
2024-02-19,Bac Lieu,6.55
2024-02-20,Bac Lieu,6.73
2024-02-21,Bac Lieu,6.21
2024-02-22,Bac Lieu,6.93
2024-02-23,Bac Lieu,6.41
2024-02-24,Bac Lieu,6.28
2024-02-25,Bac Lieu,6.73
2024-02-26,Bac Lieu,6.22
2024-02-27,Bac Lieu,6.42
2024-02-28,Bac Lieu,6.38
2024-02-29,Bac Lieu,6.52
2024-03-01,Bac Lieu,6.33
2024-03-02,Bac Lieu,6.62
2024-03-03,Bac Lieu,6.85
2024-03-04,Bac Lieu,6.26
2024-03-05,Bac Lieu,6.11
2024-03-06,Bac Lieu,6.27
2024-03-07,Bac Lieu,6.3
2024-03-08,Bac Lieu,5.99
2024-03-09,Bac Lieu,6.5
2024-03-10,Bac Lieu,6.68
2024-03-11,Bac Lieu,6.15
2024-03-12,Bac Lieu,6.44
2024-03-13,Bac Lieu,6.01
2024-03-14,Bac Lieu,6.5
2024-03-15,Bac Lieu,6.48
2024-03-16,Bac Lieu,5.85
2024-03-17,Bac Lieu,6.54
2024-03-18,Bac Lieu,6.38
2024-03-19,Bac Lieu,6.06
2024-03-20,Bac Lieu,6.6
2024-03-21,Bac Lieu,5.94
2024-03-22,Bac Lieu,5.8
2024-03-23,Bac Lieu,6.18
2024-03-24,Bac Lieu,6.17
2024-03-25,Bac Lieu,5.77
2024-03-26,Bac Lieu,5.98
2024-03-27,Bac Lieu,6.08
2024-03-28,Bac Lieu,6.33
2024-03-29,Bac Lieu,5.9
2024-03-30,Bac Lieu,6.11
2024-03-31,Bac Lieu,5.84
2024-04-01,Bac Lieu,5.97
2024-04-02,Bac Lieu,6.23
2024-04-03,Bac Lieu,14.6175
2024-04-04,Bac Lieu,5.97
2024-04-05,Bac Lieu,4.94
2024-04-06,Bac Lieu,5.95
2024-04-07,Bac Lieu,5.91
2024-04-08,Bac Lieu,5.79
2024-04-09,Bac Lieu,5.32
2024-04-10,Bac Lieu,5.2
2024-04-11,Bac Lieu,5.39
2024-04-12,Bac Lieu,5.12
2024-04-13,Bac Lieu,5.23
2024-04-14,Bac Lieu,5.18
2024-04-15,Bac Lieu,4.51
2024-04-16,Bac Lieu,4.91
2024-04-17,Bac Lieu,5.42
2024-04-18,Bac Lieu,5.52
2024-04-19,Bac Lieu,5.2
2024-04-20,Bac Lieu,4.67
2024-04-21,Bac Lieu,4.83
2024-04-22,Bac Lieu,4.82
2024-04-23,Bac Lieu,4.73
2024-04-24,Bac Lieu,4.11
2024-04-25,Bac Lieu,4.07
2024-04-26,Bac Lieu,4.75
2024-04-27,Bac Lieu,4.67
2024-04-28,Bac Lieu,4.02
2024-04-29,Bac Lieu,4.2
2024-04-30,Bac Lieu,4.29
2024-05-01,Bac Lieu,4.05
2024-05-02,Bac Lieu,3.93
2024-05-03,Bac Lieu,3.94
2024-05-04,Bac Lieu,4.3
2024-05-05,Bac Lieu,3.52
2024-05-06,Bac Lieu,3.9
2024-05-07,Bac Lieu,3.69
2024-05-08,Bac Lieu,3.53
2024-05-09,Bac Lieu,3.34
2024-05-10,Bac Lieu,3.38
2024-05-11,Bac Lieu,3.38
2024-05-12,Bac Lieu,3.64
2024-05-13,Bac Lieu,3.53
2024-05-14,Bac Lieu,3.38
2024-05-15,Bac Lieu,3.49
2024-05-16,Bac Lieu,3.27
2024-05-17,Bac Lieu,2.94
2024-05-18,Bac Lieu,2.94
2024-05-19,Bac Lieu,2.59
2024-05-20,Bac Lieu,2.48
2024-05-21,Bac Lieu,2.88
2024-05-22,Bac Lieu,2.28
2024-05-23,Bac Lieu,2.36
2024-05-24,Bac Lieu,2.68
2024-05-25,Bac Lieu,2.22
2024-05-26,Bac Lieu,2.5
2024-05-27,Bac Lieu,2.31
2024-05-28,Bac Lieu,2.34
2024-05-29,Bac Lieu,2.23
2024-05-30,Bac Lieu,2.4
2024-05-31,Bac Lieu,2.13
2024-06-01,Bac Lieu,2.3
2024-06-02,Bac Lieu,1.36
2024-06-03,Bac Lieu,1.71
2024-06-04,Bac Lieu,1.74
2024-06-05,Bac Lieu,1.04
2024-06-06,Bac Lieu,1.38
2024-06-07,Bac Lieu,1.3
2024-06-08,Bac Lieu,1.49
2024-06-09,Bac Lieu,1.0
2024-06-10,Bac Lieu,0.6
2024-06-11,Bac Lieu,1.23
