horizon,model,mae,rmse
1,baseline_linear,0.47046417116660333,0.5522303595730502
1,xgboost,0.6172230893465189,0.7356790694721744
2,baseline_linear,0.48080853341175955,0.5646640105517668
2,xgboost,0.6567393761781546,0.7930750836648769
3,baseline_linear,0.5999681311203884,0.695105093200989
3,xgboost,0.7303336134507105,0.8762873998775835
4,baseline_linear,0.6213327531768725,0.7191288239787625
4,xgboost,0.8302773437866798,1.0026895729756895
5,baseline_linear,0.7182854982706215,0.8288699140458252
5,xgboost,0.9663858033877152,1.1722722118926197
6,baseline_linear,0.8159590045431487,0.9374703677254506
6,xgboost,1.0854701017233044,1.30220328895655
7,baseline_linear,0.9087334746672556,1.0316713903483097
7,xgboost,1.1943197808173986,1.4159417840564823
